id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
9197,14800000000,0,50.0,1,268,9547,0,4,5
7875,24500000000,0,111.0,79,778,27490,0,6,6
8572,23000000000,0,111.0,79,778,27490,0,5,5
9733,45000000000,0,140.0,79,778,27472,0,4,3
9200,5650000000,0,42.0,1,268,9547,0,3,3
8457,7600000000,0,40.0,1,268,9547,0,5,5
8460,5700000000,0,70.0,1,268,9547,0,3,3
9204,5750000000,0,-1.0,1,268,9547,0,4,3
8579,5620000000,0,51.0,1,268,9547,0,3,2
9215,6300000000,0,52.0,1,268,9547,0,3,3
9217,7000000000,0,48.0,1,268,9547,0,4,4
8622,2320000000,0,-1.0,1,268,9547,0,2,2
8689,31000000000,0,72.0,1,9,355,0,5,4
8693,29500000000,0,102.0,1,9,352,0,4,4
8814,22000000000,0,111.0,79,778,27490,0,0,0
8967,35000000000,0,-1.0,79,766,27004,0,0,2
8977,57000000000,0,104.0,79,760,26758,0,0,2
8983,830000000000,0,416.0,79,770,27139,0,0,4
9065,800000000,0,3000.0,79,770,27139,0,3,3
9386,21000000000,0,111.0,79,778,27490,0,6,6
9397,40000000000,0,126.0,79,778,27490,0,5,5
9379,45000000000,0,126.0,79,778,27490,0,7,7
9373,24000000000,0,111.0,79,778,27490,0,5,6
20719,499000000000,0,1053.0,79,760,26743,0,0,0
9921,21000000000,0,111.0,79,778,27490,0,0,0
9960,22000000000,0,126.0,79,778,27490,0,6,6
23256,13000000000,0,148.0,79,778,27490,0,3,2
23276,350000000000,0,364.0,79,760,26737,0,9,9
20723,11800000000,0,80.0,79,765,26917,0,14,0
10461,23000000000,0,70.0,79,760,26743,0,6,6
10453,150000000000,0,200.0,79,760,26743,0,70,70
24363,11800000000,0,147.0,79,778,27490,0,3,2
20728,11500000000,0,90.0,79,778,27481,0,2,1
20729,118000000000,0,180.0,79,760,26755,0,8,8
20731,25000000000,0,150.0,79,778,27490,0,0,0
20732,10500000000,0,76.0,79,766,26974,0,3,2
20734,14800000000,0,350.0,79,775,27385,0,6,6
11069,2560000000,0,65.0,79,778,27490,0,2,2
21921,250000000000,0,260.0,79,760,26740,0,10,10
20738,2400000000,0,-1.0,79,764,26884,0,4,4
21922,4980000000,0,122.0,79,764,26881,0,4,3
20741,4290000000,0,-1.0,79,778,27490,0,3,2
11102,12500000000,0,-1.0,79,778,27490,0,3,2
21923,39999000000,0,120.0,79,770,27139,0,0,0
11124,3470000000,0,147.0,79,778,27490,0,3,3
11126,3470000000,0,147.0,79,778,27490,4,3,3
20747,10000000000,0,94.0,79,760,26761,0,2,2
24365,22000000000,0,296.0,79,772,27217,0,4,4
11120,3470000000,0,147.0,79,778,27490,1,3,3
20752,7500000000,0,180.0,79,778,27472,0,4,4
11147,2850000000,0,70.0,79,778,27490,0,2,1
21977,2500000000,0,40.0,79,765,26908,0,4,4
20754,10600000000,0,216.0,79,765,26914,0,4,3
11162,2560000000,0,69.0,79,778,27490,0,2,2
11161,6200000000,0,135.0,79,778,27490,0,3,2
21978,109000000000,0,350.0,79,770,27139,0,2,2
20757,8700000000,0,70.0,79,765,26908,0,3,2
20758,7800000000,0,-1.0,79,765,26938,0,6,0
16380,10999000000,0,45.0,79,778,27481,0,1,1
22354,7900000000,0,234.0,79,764,26898,0,3,4
22681,3690000000,0,75.0,79,765,26917,0,0,0
20764,3990000000,0,33.0,79,764,26878,0,2,2
22682,28000000000,0,111.0,79,778,27490,0,5,6
11386,45000000000,0,171.0,79,778,27490,3,4,4
23375,8500000000,0,135.0,79,778,27490,0,3,2
20772,5500000000,0,112.0,79,764,26882,0,4,4
23803,7500000000,0,38.0,79,765,26917,0,4,4
20784,2660000000,0,42.0,79,786,27643,0,2,2
20785,7900000000,0,60.0,79,764,26878,0,3,3
20773,8500000000,0,76.0,79,765,26905,0,3,0
20776,17800000000,0,-1.0,79,766,26971,0,5,4
20777,3200000000,0,78.0,79,765,26914,0,0,0
20778,200000000000,0,400.0,79,760,26743,0,79,79
21979,3150000000,0,75.0,79,764,26869,0,3,2
20786,80000000000,0,1700.0,79,765,26911,0,0,0
11503,5600000000,0,115.0,79,778,27490,0,3,2
20788,46000000000,0,325.0,79,765,26914,0,1,1
20793,59000000000,0,152.0,79,770,27139,0,7,7
20791,150000000000,0,500.0,79,770,27139,0,2,2
20795,9700000000,0,156.0,79,776,27427,0,3,1
20796,2000000000,0,65.0,79,761,26791,0,4,16
20801,4050000000,0,-1.0,79,778,27490,0,3,2
20805,57000000000,0,80.0,79,760,26743,0,0,0
20806,6500000000,0,101.0,79,778,27490,0,3,2
21981,105000000000,0,-1.0,79,760,26737,0,7,7
20814,24500000000,0,120.0,79,765,26920,0,2,2
20816,10200000000,0,100.0,79,765,26917,0,5,0
22834,70000000000,0,192.0,79,760,26743,0,7,7
20818,4500000000,0,100.0,79,778,27490,0,3,2
13028,12000000000,0,128.0,79,778,27490,0,3,2
20823,130000000000,0,410.0,79,760,26749,0,9,9
22684,62000000000,0,127.0,79,760,26749,0,12,12
22846,3750000000,0,68.0,79,761,26788,0,0,0
22365,9500000000,0,774.0,79,767,27025,0,0,0
