,price,area,province,district,ward,floor,bedroom,toilet
14585,3500000000,46.0,79,764,26881,0,2,2
14586,4400000000,80.0,79,786,27643,0,0,0
14587,8500000000,380.0,79,767,27040,0,6,5
14588,10300000000,146.0,79,778,27490,0,3,2
14590,5500000000,64.0,79,764,26899,0,3,3
14592,21900000000,192.0,79,770,27133,0,4,4
14593,6600000000,134.0,79,764,26872,0,3,2
14594,2900000000,66.0,79,775,27385,0,2,2
14596,11200000000,130.0,79,778,27490,0,3,2
14598,7000000000,88.0,79,764,26875,0,2,2
14600,3300000000,100.0,79,786,27643,0,2,2
14601,8400000000,65.0,79,766,26971,0,4,4
14602,4700000000,60.0,79,764,26881,0,3,3
14604,8100000000,70.0,79,764,26897,0,4,5
14605,9700000000,125.0,79,764,26899,0,2,2
14606,6000000000,67.0,79,764,26881,0,0,0
14608,3800000000,71.0,79,764,26897,0,2,2
14609,11600000000,82.0,79,764,26899,0,7,7
14610,3700000000,44.0,79,764,26899,0,4,4
14611,14600000000,300.0,79,766,26971,0,5,5
14612,4800000000,47.0,79,764,26882,0,3,2
14613,2500000000,116.0,79,774,27331,0,3,2
14614,5400000000,230.0,79,767,27025,0,4,5
14615,8700000000,275.0,79,764,26899,0,5,5
14616,4000000000,41.0,79,764,26884,0,2,2
14617,4500000000,43.0,79,764,26897,0,2,2
14622,10100000000,150.0,79,778,27490,0,3,3
14623,3800000000,95.0,79,765,26905,0,0,0
14624,5100000000,38.0,79,764,26882,0,3,3
14625,4400000000,49.0,79,764,26898,0,3,2
14628,5200000000,56.0,79,764,26878,0,2,2
14629,9800000000,288.0,79,764,26875,0,4,5
14630,6000000000,49.0,79,766,27007,0,5,5
14631,9200000000,110.0,79,761,26782,0,5,5
14634,8000000000,135.0,79,778,27490,0,3,2
14635,3000000000,76.0,79,785,27601,0,4,2
14637,4300000000,120.0,79,767,27025,0,3,2
14638,9100000000,128.0,79,778,27490,0,3,2
14640,2700000000,50.0,79,771,27172,0,2,2
14641,11100000000,196.0,79,775,27385,0,4,4
14642,7600000000,150.0,79,765,26905,0,4,3
14643,3900000000,34.0,79,764,26884,0,2,2
14644,6400000000,66.0,79,764,26875,0,1,1
14645,5300000000,43.0,79,764,26876,0,0,0
14646,9700000000,218.0,79,764,26897,0,4,6
14647,5500000000,100.0,79,778,27490,0,3,2
14649,5000000000,76.0,79,764,26884,0,4,4
14650,7900000000,64.0,79,766,26971,0,4,4
14653,13700000000,56.0,79,760,26737,0,8,4
14654,12100000000,190.0,79,778,27490,0,3,3
14655,5900000000,60.0,79,764,26882,0,4,4
14656,6500000000,90.0,79,767,27010,0,2,1
14657,8000000000,56.0,79,775,27385,0,4,3
14660,8000000000,109.0,79,778,27490,0,3,2
14661,6500000000,144.0,79,770,27136,0,3,3
14666,2900000000,25.0,79,764,26881,0,2,2
14667,5400000000,50.0,79,764,26884,0,2,2
14668,15200000000,320.0,79,775,27364,0,5,4
14670,2500000000,40.0,79,764,26881,0,2,2
14673,4300000000,80.0,79,765,26905,0,0,0
14675,5200000000,148.0,79,767,27025,0,4,3
14676,3700000000,35.0,79,764,26881,0,2,2
14678,4900000000,120.0,79,767,27019,0,3,2
14683,4300000000,77.0,79,761,26776,0,0,0
14684,3100000000,57.0,79,786,27643,0,2,2
14685,5400000000,100.0,79,778,27490,0,3,2
14688,11000000000,130.0,79,778,27490,0,3,2
14691,6500000000,106.0,79,778,27490,0,3,2
14695,2600000000,54.0,79,772,27214,0,2,3
14696,7400000000,140.0,79,778,27490,0,3,3
14697,9700000000,320.0,79,764,26882,0,5,6
14698,4000000000,36.0,79,764,26899,0,2,2
14699,4600000000,68.0,79,764,26898,0,3,4
14700,9300000000,300.0,79,786,27643,0,4,5
14701,11400000000,70.0,79,766,26992,0,4,4
14702,5800000000,55.0,79,764,26897,0,4,3
14708,9100000000,100.0,79,778,27469,0,1,1
